Drill Listing
=============
Drill: .012  Tool: 1  Feed: 95  Speed: 300
X 564000  Y 469000
X 584000  Y 469000
X 594000  Y 469000
X 604000  Y 469000
X 594000  Y 459000
X 604000  Y 459000
X 594000  Y 135000
X 604000  Y 135000
X 594000  Y 125000
X 604000  Y 125000
X 755000  Y 125000
X 745000  Y 125000
X 745000  Y 135000
X 755000  Y 135000
X 745000  Y 459000
X 755000  Y 459000
X 745000  Y 469000
X 755000  Y 469000
X 765000  Y 469000
X 775000  Y 469000
X 785000  Y 469000
X 765000  Y 459000
X 775000  Y 459000
X 785000  Y 459000
X 765000  Y 135000
X 775000  Y 135000
X 785000  Y 135000
X 765000  Y 125000
X 775000  Y 125000
X 785000  Y 125000

Drill: .126  Tool: 5  Feed: 35  Speed: 794
X 184220  Y 260063
X 259023  Y 260063
X 259023  Y 334866
X 184220  Y 334866
X 365220  Y 334866
X 365220  Y 260063
X 440023  Y 260063
X 546220  Y 260063
X 440023  Y 334866
X 546220  Y 334866
X 621023  Y 334866
X 727220  Y 334866
X 727220  Y 260063
X 621023  Y 260063
X 802023  Y 260063
X 802023  Y 334866

End of Listing
